order_id,customer_id,order_placement_date,on_time,in_full,otif,product_id,product_name,category
FMR34203601,789203,01-Mar-22,1,1,1,25891301,"AM Ghee 250",beverages
FMR32320302,789320,01-Mar-22,1,1,1,25891203,"AM Butter 500",Dairy
FMR33320501,789320,01-Mar-22,1,0,0,25891201,"AM Biscuits 750",Dairy
FMR34220601,789220,01-Mar-22,1,1,1,25891102,"AM Butter 100",beverages
FMR33703603,789703,01-Mar-22,1,1,1,25891203,"AM Butter 500",beverages
FMR33721603,789721,01-Mar-22,1,1,1,25891203,"AM Butter 500",beverages
FMR33420203,789420,01-Mar-22,0,1,0,25891103,"AM Butter 500",Dairy
FMR34420402,789420,01-Mar-22,0,1,0,25891103,"AM Butter 500",Dairy
FMR32403401,789403,01-Mar-22,1,1,1,25891202,"AM Butter 250",Dairy
FMR34121203,789121,01-Mar-22,0,1,0,25891203,"AM Butter 500",Dairy
FMR32501601,789501,01-Mar-22,1,0,0,25891103,"AM Butter 500",beverages
FMR34501203,789501,01-Mar-22,1,1,1,25891103,"AM Butter 500",Dairy
FMR34102602,789102,01-Mar-22,1,0,0,25891201,"AM Butter 100",beverages
FMR33902203,789902,01-Mar-22,1,0,0,25891102,"AM Butter 500",Dairy
FMR34903603,789903,01-Mar-22,1,0,0,25891203,"AM Biscuits 750",beverages
FMR32421203,789421,01-Mar-22,0,0,0,25891203,"AM Butter 500",Dairy
FMR33421203,789421,01-Mar-22,0,0,0,25891202,"AM Butter 250",Dairy
FMR33402203,789402,01-Mar-22,0,1,0,25891203,"AM Butter 500",Dairy
FMR33621603,789621,01-Mar-22,1,1,1,25891203,"AM Butter 500",beverages
FMR34520301,789520,01-Mar-22,1,0,0,25891101,"AM Butter 500",Dairy
FMR33702302,789702,01-Mar-22,1,0,0,25891302,"AM Ghee 150",Dairy
FMR34603302,789603,01-Mar-22,1,1,1,25891103,"AM Ghee 150",Dairy
FMR34721502,789721,01-Mar-22,0,0,0,25891302,"AM Biscuits 500",Dairy
FMR33621302,789621,01-Mar-22,0,1,0,25891302,"AM Ghee 150",Dairy
FMR32520302,789520,01-Mar-22,0,0,0,25891302,"AM Ghee 150",Dairy
FMR33520601,789520,01-Mar-22,0,0,0,25891302,"AM Ghee 150",beverages
FMR34520302,789520,01-Mar-22,0,0,0,25891102,"AM Ghee 150",Dairy
FMR32420602,789420,01-Mar-22,0,0,0,25891302,"AM Biscuits 500",beverages
FMR32902402,789902,01-Mar-22,1,1,1,25891302,"AM Curd 100",Dairy
FMR32521302,789521,01-Mar-22,0,1,0,25891302,"AM Ghee 150",Dairy
FMR32720302,789720,01-Mar-22,1,1,1,25891102,"AM Ghee 150",Dairy
FMR33401603,789401,01-Mar-22,1,0,0,25891201,"AM Biscuits 250",beverages
FMR33121302,789121,01-Mar-22,1,1,1,25891302,"AM Ghee 150",Dairy
FMR32903403,789903,01-Mar-22,1,0,0,25891101,"AM Curd 50",Dairy
FMR32422302,789422,01-Mar-22,0,0,0,25891302,"AM Ghee 150",Dairy
